5,10,15,20,Half,25,30,35,40,Finish
33:23,33:10,33:57,34:23,07:32,31:49,39:43,43:09,43:34,17:41
27:27,28:19,28:45,28:39,06:13,22:50,29:52,31:20,32:14,14:05
-,-,-,-,-,-,-,-,-,-
23:51,22:59,23:13,24:07,05:20,19:33,26:37,28:42,29:10,11:37
31:53,35:37,35:53,41:32,09:41,40:43,51:26,53:40,57:29,24:10
26:57,28:31,30:11,31:58,07:01,31:34,38:10,41:11,37:54,15:48
30:23,33:09,34:32,40:02,10:17,37:46,48:45,49:30,49:14,18:12
32:00,32:26,33:38,34:16,07:28,27:47,37:07,37:59,38:45,16:09
26:13,29:44,32:29,34:35,07:37,34:16,39:07,41:33,36:12,13:30
27:03,27:53,27:43,28:34,06:11,22:10,28:04,29:49,31:21,12:55
31:30,31:18,31:03,31:08,06:59,25:03,35:01,39:19,39:23,15:48
27:39,28:28,30:59,33:10,07:26,27:25,37:57,40:23,41:35,17:31
29:09,27:21,28:44,28:55,06:12,22:24,29:26,33:02,34:14,14:54
31:22,31:31,33:06,33:24,07:10,25:16,32:43,35:28,36:08,15:02
-,-,-,-,-,-,-,-,-,-
24:30,24:29,25:35,25:02,05:22,19:42,26:06,27:48,28:55,12:36
36:30,35:10,36:20,35:50,07:42,29:37,38:42,40:41,40:19,16:48
27:07,27:50,27:55,27:48,06:11,21:43,27:47,28:06,29:28,12:38
21:00,21:06,21:29,21:32,04:39,16:58,22:18,22:53,23:50,10:35
-,-,-,-,-,-,-,-,-,-
21:42,21:50,22:03,21:57,04:45,17:00,21:52,22:59,24:49,10:36
23:26,23:48,23:55,24:28,05:12,18:55,25:25,26:16,26:58,11:56
25:58,26:33,26:37,26:58,05:48,21:39,28:14,29:10,32:43,12:48
-,-,-,-,-,-,-,-,-,-
33:28,33:37,34:11,35:09,07:37,27:55,37:05,38:52,36:20,15:39
22:40,22:48,23:12,22:50,05:06,18:15,23:55,26:19,28:24,11:29
-,-,-,-,-,-,-,-,-,-
38:05,38:25,39:30,40:47,09:07,30:32,37:10,36:24,42:56,18:04
26:51,28:09,29:34,30:59,06:53,25:56,35:04,37:01,36:07,13:28
-,-,-,-,-,-,-,-,-,-
31:08,30:53,31:11,30:35,06:37,36:57,31:07,34:01,33:15,14:27
24:32,24:26,25:01,25:06,05:28,19:47,25:32,26:00,26:47,11:52
30:18,31:20,32:50,33:44,07:22,28:21,37:43,41:27,44:19,17:39
38:03,39:26,44:38,50:16,10:05,45:09,50:38,53:23,56:22,22:15
46:29,45:50,47:09,49:27,10:46,40:56,58:56,-,-,-
34:06,40:53,36:36,38:00,07:48,31:00,40:34,45:20,56:17,17:17
24:16,23:47,23:24,23:36,05:07,18:47,24:43,27:09,29:42,13:51
25:41,25:29,25:47,25:53,05:37,20:13,26:37,28:55,30:31,13:08
34:57,34:58,38:16,37:58,08:26,37:12,41:45,45:36,42:53,17:26
35:44,35:39,36:08,47:37,08:25,33:57,49:55,49:41,50:20,17:37
23:19,24:01,24:13,24:01,05:20,18:52,24:34,25:36,26:34,11:24
21:05,21:04,21:18,21:26,04:37,16:46,22:22,24:57,28:00,12:20
27:14,28:46,28:37,29:37,06:10,22:50,29:52,31:19,30:49,13:35
29:15,29:48,30:07,29:59,06:37,24:41,31:54,34:58,35:34,19:10
25:52,26:19,27:45,28:48,06:23,25:25,32:55,36:05,45:54,14:10
35:02,34:30,49:21,37:03,07:23,38:15,36:12,37:17,38:07,15:51
40:02,40:34,54:20,44:32,09:11,37:37,47:53,49:09,49:26,21:00
28:14,28:24,28:19,28:16,06:08,22:04,28:03,30:24,28:27,12:18
31:39,38:42,43:50,43:51,09:25,36:32,49:52,50:31,51:16,21:32
36:04,35:25,36:58,39:29,08:24,35:53,49:09,52:45,46:26,17:40
22:24,22:31,22:30,22:23,04:53,17:11,22:13,22:30,22:24,10:03
34:57,34:58,38:15,37:58,08:27,37:11,41:45,45:37,42:53,17:24
27:38,28:07,28:37,29:09,06:39,25:22,32:34,35:43,36:08,15:21
29:56,30:34,30:41,31:22,07:03,25:55,33:14,36:24,39:10,17:11
31:01,32:46,34:01,34:12,07:30,29:16,39:54,42:07,43:17,19:26
27:59,27:19,27:38,28:20,06:09,23:10,31:17,36:05,37:30,14:33
-,-,-,-,-,-,-,-,-,-
31:35,31:42,33:40,36:01,07:59,33:29,42:18,46:18,45:12,15:59
31:49,32:42,33:51,34:47,07:54,28:07,36:59,37:36,36:51,15:55
37:51,38:38,49:34,42:31,09:16,35:58,50:02,54:20,51:47,22:02
-,-,-,-,-,-,-,-,-,-
20:16,20:11,20:17,20:29,04:28,16:14,21:23,22:30,23:02,09:51
28:36,29:40,31:11,31:33,06:59,26:01,35:14,38:16,39:47,14:56
28:48,30:34,31:56,32:16,07:00,29:23,36:02,37:20,37:09,14:51
34:54,36:00,39:32,40:50,09:27,34:12,46:24,48:09,47:12,19:01
34:40,37:12,37:51,41:52,09:04,35:00,44:05,44:39,42:34,17:30
24:29,27:08,27:04,26:34,05:45,21:35,30:11,36:16,37:06,18:55
